ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice PCI,Etat PCI,Indice IRI,Etat IRI
1619530,du Château-Pierrefonds avenue,boulevard de Pierrefonds ,rue Joseph-Wilson ,140,Pierrefonds–Roxboro,2015-10-05,49,Mauvais,3.72,Moyen
1619532,du Château-Pierrefonds avenue,rue du Manoir ,rue Oka ,211,Pierrefonds–Roxboro,2015-10-05,25,Très mauvais,3.41,Moyen
1619533,de Pierrefonds boulevard,rue Prével ,avenue du Château-Pierrefonds ,381,Pierrefonds–Roxboro,2015-10-05,28,Très mauvais,6.17,Très mauvais
1619535,Coursol rue,rue River ,rue River ,169,Pierrefonds–Roxboro,2015-10-07,64,Bon,6.65,Mauvais
1619536,River rue,rue Coursol ,rue Coursol ,247,Pierrefonds–Roxboro,2015-10-07,41,Moyen,8.06,Très mauvais
1619539,Coursol rue,boulevard Gouin Ouest ,rue River ,61,Pierrefonds–Roxboro,2015-10-07,36,Mauvais,9.59,Très mauvais
1619540,Gouin Ouest boulevard,rue des Cageux ,rue Coursol ,224,Pierrefonds–Roxboro,2015-10-05,40,Très mauvais,8.6,Très mauvais
1619541,des Cageux rue,rue Hélène ,rue des Cageux ,347,Pierrefonds–Roxboro,2015-10-05,50,Moyen,5.43,Moyen
1619542,des Cageux rue,boulevard Gouin Ouest ,rue Hélène ,118,Pierrefonds–Roxboro,2015-10-05,59,Moyen,6.28,Mauvais
1619543,Hélène rue,rue des Cageux ,boulevard Gouin Ouest ,242,Pierrefonds–Roxboro,2015-10-05,61,Bon,5.64,Moyen
1619544,des Cageux rue,boulevard Gouin Ouest ,rue des Cageux ,77,Pierrefonds–Roxboro,2015-10-05,86,Excellent,3.67,Bon
1619545,Gouin Ouest boulevard,rue Hélène ,rue des Cageux ,107,Pierrefonds–Roxboro,2015-10-05,64,Moyen,5.43,Moyen
1619546,Berthiaume rue,rue des Cageux ,rue Binette ,80,Pierrefonds–Roxboro,2015-10-06,54,Moyen,7.61,Mauvais
1619547,Bibeau rue,rue Allison ,rue Berthiaume ,247,Pierrefonds–Roxboro,2015-10-06,74,Bon,4.62,Moyen
1619548,des Cageux rue,rue Adrienne ,rue Berthiaume ,117,Pierrefonds–Roxboro,2015-10-05,93,Excellent,3.82,Moyen
1619549,Adrienne rue,rue des Cageux ,rue Berthiaume ,262,Pierrefonds–Roxboro,2015-10-05,79,Bon,4.69,Moyen
1619550,Thivierge rue,rue des Cageux ,rue Thivierge ,95,Pierrefonds–Roxboro,2015-10-05,61,Bon,5.57,Moyen
1619551,des Cageux rue,rue Berthiaume ,boulevard Gouin Ouest ,86,Pierrefonds–Roxboro,2015-10-05,91,Excellent,3.78,Moyen
1619552,des Cageux rue,rue Thivierge ,rue Adrienne ,88,Pierrefonds–Roxboro,2015-10-05,97,Excellent,3.28,Moyen
1619553,des Cageux rue,rue Legault ,rue Thivierge ,86,Pierrefonds–Roxboro,2015-10-05,100,Excellent,2.81,Moyen
1619554,Gouin Ouest boulevard,rue Bouchard ,rue Hélène ,62,Pierrefonds–Roxboro,2015-10-05,65,Moyen,5.65,Mauvais
1619555,Gouin Ouest boulevard,rue Noël ,rue Bouchard ,63,Pierrefonds–Roxboro,2015-10-05,46,Mauvais,7.38,Très mauvais
1619556,Noël rue,boulevard Gouin Ouest ,rue des Rivières ,204,Pierrefonds–Roxboro,2015-10-07,67,Bon,6.1,Mauvais
1619557,des Rivières rue,rue Legault ,rue Noël ,64,Pierrefonds–Roxboro,2015-10-05,41,Moyen,5.41,Moyen
1619558,Legault rue,rue des Rivières ,rue Legault ,28,Pierrefonds–Roxboro,2015-10-05,87,Excellent,6.2,Mauvais
1619561,De Gaulle rue,rue des Rivières ,rue De Gaulle ,41,Pierrefonds–Roxboro,2015-10-07,94,Excellent,6.02,Mauvais
1619562,Thivierge rue,rue des Cageux ,rue Berthiaume ,57,Pierrefonds–Roxboro,2015-10-05,59,Moyen,7.45,Mauvais
1619563,Bibeau rue,rue Legault ,rue Allison ,106,Pierrefonds–Roxboro,2015-10-06,57,Moyen,5.39,Moyen
1619564,des Cageux rue,boulevard de Pierrefonds ,rue Legault ,103,Pierrefonds–Roxboro,2015-10-05,91,Excellent,3.28,Moyen
1619565,des Cageux rue,rue Clermont ,boulevard de Pierrefonds ,90,Pierrefonds–Roxboro,2015-10-05,76,Bon,4.53,Moyen
1619566,Bouchard rue,boulevard Gouin Ouest ,rue des Rivières ,204,Pierrefonds–Roxboro,2015-10-05,97,Excellent,5.29,Moyen
1619567,des Rivières rue,rue Noël ,rue Bouchard ,62,Pierrefonds–Roxboro,2015-10-05,45,Moyen,7.8,Mauvais
1619568,Geneviève rue,boulevard Gouin Ouest ,rue des Rivières ,164,Pierrefonds–Roxboro,2015-10-07,56,Moyen,5.96,Moyen
1619569,Gouin Ouest boulevard,rue Geneviève ,rue De Kenty ,64,Pierrefonds–Roxboro,2015-10-05,78,Bon,5.5,Moyen
1619570,Gouin Ouest boulevard,rue De Kenty ,rue de Nanterre ,38,Pierrefonds–Roxboro,2015-10-05,51,Moyen,5.77,Mauvais
1619571,Gouin Ouest boulevard,rue de Nanterre ,rue De Gaulle ,20,Pierrefonds–Roxboro,2015-10-05,84,Bon,4.89,Moyen
1619572,Gouin Ouest boulevard,rue De Gaulle ,rue Legault ,59,Pierrefonds–Roxboro,2015-10-05,60,Moyen,5.88,Mauvais
1619574,Legault rue,boulevard Gouin Ouest ,rue des Rivières ,203,Pierrefonds–Roxboro,2015-10-05,94,Excellent,4.44,Moyen
1619575,De Gaulle rue,boulevard Gouin Ouest ,rue des Rivières ,197,Pierrefonds–Roxboro,2015-10-07,93,Excellent,3.8,Bon
1619576,Gouin Ouest boulevard,rue Legault ,rue Noël ,56,Pierrefonds–Roxboro,2015-10-05,46,Mauvais,5.88,Mauvais
